module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
bmb,anytime,Create Agent,CA,10,_gsane/bmb/workflows/agent/workflow-create-agent.md,gsane_bmb_create_agent,false,agent-builder,gsane:Precise and technical:agent:agent-builder,Bond,🤖 Agent Building Expert,Create Mode,Create a new GSANE agent with best practices and compliance,bmb_creations_output_folder,agent
bmb,anytime,Edit Agent,EA,15,_gsane/bmb/workflows/agent/workflow-edit-agent.md,gsane_bmb_edit_agent,false,agent-builder,gsane:Precise and technical:agent:agent-builder,Bond,🤖 Agent Building Expert,Edit Mode,Edit existing GSANE agents while maintaining compliance,bmb_creations_output_folder,agent
bmb,anytime,Validate Agent,VA,20,_gsane/bmb/workflows/agent/workflow-validate-agent.md,gsane_bmb_validate_agent,false,agent-builder,gsane:Precise and technical:agent:agent-builder,Bond,🤖 Agent Building Expert,Validate Mode,Validate existing GSANE agents and offer to improve deficiencies,agent being validated folder,validation report
bmb,anytime,Create Module Brief,PB,30,_gsane/bmb/workflows/module/workflow-create-module-brief.md,gsane_bmb_create_module_brief,false,module-builder,gsane:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Module Brief Mode,Create product brief for GSANE module development,bmb_creations_output_folder,product brief
bmb,anytime,Create Module,CM,35,_gsane/bmb/workflows/module/workflow-create-module.md,gsane_bmb_create_module,false,module-builder,gsane:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Create Mode,"Create a complete GSANE module with agents, workflows, and infrastructure",bmb_creations_output_folder,module
bmb,anytime,Edit Module,EM,40,_gsane/bmb/workflows/module/workflow-edit-module.md,gsane_bmb_edit_module,false,module-builder,gsane:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Edit Mode,Edit existing GSANE modules while maintaining coherence,bmb_creations_output_folder,module
bmb,anytime,Validate Module,VM,45,_gsane/bmb/workflows/module/workflow-validate-module.md,gsane_bmb_validate_module,false,module-builder,gsane:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Validate Mode,Run compliance check on GSANE modules against best practices,module being validated folder,validation report
bmb,anytime,Create Workflow,CW,50,_gsane/bmb/workflows/workflow/workflow-create-workflow.md,gsane_bmb_create_workflow,false,workflow-builder,gsane:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Create Mode,Create a new GSANE workflow with proper structure and best practices,bmb_creations_output_folder,workflow
bmb,anytime,Edit Workflow,EW,55,_gsane/bmb/workflows/workflow/workflow-edit-workflow.md,gsane_bmb_edit_workflow,false,workflow-builder,gsane:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Edit Mode,Edit existing GSANE workflows while maintaining integrity,bmb_creations_output_folder,workflow
bmb,anytime,Validate Workflow,VW,60,_gsane/bmb/workflows/workflow/workflow-validate-workflow.md,gsane_bmb_validate_workflow,false,workflow-builder,gsane:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Validate Mode,Run validation check on GSANE workflows against best practices,workflow being validated folder,validation report
bmb,anytime,Max Parallel Validate,MV,65,_gsane/bmb/workflows/workflow/workflow-validate-max-parallel-workflow.md,gsane_bmb_validate_max_parallel,false,workflow-builder,gsane:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Max Parallel Validate,Run validation checks in MAX-PARALLEL mode against a workflow requires a tool that supports Parallel Sub-Processes,workflow being validated folder,validation report
bmb,anytime,Rework Workflow,RW,70,_gsane/bmb/workflows/workflow/workflow-rework-workflow.md,gsane_bmb_rework_workflow,false,workflow-builder,gsane:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Rework Mode,Rework a Workflow to a V6 Compliant Version,bmb_creations_output_folder,workflow
cis,anytime,Innovation Strategy,IS,,_gsane/cis/workflows/innovation-strategy/workflow.yaml,gsane-cis-innovation-strategy,false,innovation-strategist,gsane:devastatingly simple questions:agent:innovation-strategist,Victor,⚡ Disruptive Innovation Oracle,Create Mode,Identify disruption opportunities and architect business model innovation. Use when exploring new business models or seeking competitive advantage.,output_folder,innovation strategy
